Date : 2023-07-05 02:56:18
Directory : d:\codes\ChatGPT-Next-Web\app
Total : 136 files,  15322 codes, 159 comments, 1640 blanks, all 17121 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript       |         47 |      6,591 |         51 |        506 |      7,148 |
| TypeScript React |         25 |      5,286 |         87 |        511 |      5,884 |
| SCSS             |         20 |      3,243 |         21 |        609 |      3,873 |
| XML              |         44 |        202 |          0 |         14 |        216 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                     |        136 |     15,322 |        159 |      1,640 |     17,121 |
| . (Files)                                                             |          8 |        355 |          5 |         75 |        435 |
| api                                                                   |          4 |        186 |          8 |         47 |        241 |
| api (Files)                                                           |          2 |        125 |          6 |         29 |        160 |
| api\config                                                            |          1 |         18 |          2 |          8 |         28 |
| api\openai                                                            |          1 |         43 |          0 |         10 |         53 |
| api\openai\[...path]                                                  |          1 |         43 |          0 |         10 |         53 |
| client                                                                |          3 |        352 |          5 |         64 |        421 |
| client (Files)                                                        |          2 |        147 |          4 |         33 |        184 |
| client\platforms                                                      |          1 |        205 |          1 |         31 |        237 |
| components                                                            |         37 |      7,057 |         95 |        849 |      8,001 |
| config                                                                |          3 |        106 |          2 |         18 |        126 |
| icons                                                                 |         44 |        202 |          0 |         14 |        216 |
| locales                                                               |         16 |      3,773 |          1 |         99 |      3,873 |
| masks                                                                 |          4 |        619 |          0 |         11 |        630 |
| store                                                                 |          8 |      1,227 |         28 |        192 |      1,447 |
| styles                                                                |          6 |      1,407 |         12 |        265 |      1,684 |
| utils                                                                 |          3 |         38 |          3 |          6 |         47 |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                              | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\codes\ChatGPT-Next-Web\app\api\auth.ts                             | TypeScript       |         51 |          2 |         13 |         66 |
| d:\codes\ChatGPT-Next-Web\app\api\common.ts                           | TypeScript       |         74 |          4 |         16 |         94 |
| d:\codes\ChatGPT-Next-Web\app\api\config\route.ts                     | TypeScript       |         18 |          2 |          8 |         28 |
| d:\codes\ChatGPT-Next-Web\app\api\openai\[...path]\route.ts           | TypeScript       |         43 |          0 |         10 |         53 |
| d:\codes\ChatGPT-Next-Web\app\client\api.ts                           | TypeScript       |        117 |          3 |         26 |        146 |
| d:\codes\ChatGPT-Next-Web\app\client\controller.ts                    | TypeScript       |         30 |          1 |          7 |         38 |
| d:\codes\ChatGPT-Next-Web\app\client\platforms\openai.ts              | TypeScript       |        205 |          1 |         31 |        237 |
| d:\codes\ChatGPT-Next-Web\app\command.ts                              | TypeScript       |         59 |          0 |         13 |         72 |
| d:\codes\ChatGPT-Next-Web\app\components\auth.module.scss             | SCSS             |         29 |          0 |          9 |         38 |
| d:\codes\ChatGPT-Next-Web\app\components\auth.tsx                     | TypeScript React |         49 |          0 |          8 |         57 |
| d:\codes\ChatGPT-Next-Web\app\components\button.module.scss           | SCSS             |         69 |          0 |         15 |         84 |
| d:\codes\ChatGPT-Next-Web\app\components\button.tsx                   | TypeScript React |         47 |          0 |          5 |         52 |
| d:\codes\ChatGPT-Next-Web\app\components\chat-list.tsx                | TypeScript React |        151 |          0 |         11 |        162 |
| d:\codes\ChatGPT-Next-Web\app\components\chat.module.scss             | SCSS             |        403 |          0 |         77 |        480 |
| d:\codes\ChatGPT-Next-Web\app\components\chat.tsx                     | TypeScript React |        940 |         28 |         96 |      1,064 |
| d:\codes\ChatGPT-Next-Web\app\components\code-login.tsx               | TypeScript React |         51 |          0 |          7 |         58 |
