Date : 2024-03-22 03:40:43
Directory : d:\codes\ChatGPT-Next-Web\app\(applications)\tarot
Total : 164 files,  -11626 codes, 38 comments, -1332 blanks, all -12920 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript JSX   |          5 |        726 |         27 |         89 |        842 |
| Markdown         |          1 |         22 |          0 |         13 |         35 |
| XML              |         44 |       -202 |          0 |        -14 |       -216 |
| SCSS             |         26 |     -2,823 |         10 |       -553 |     -3,366 |
| TypeScript       |         63 |     -4,063 |         88 |       -356 |     -4,331 |
| TypeScript React |         25 |     -5,286 |        -87 |       -511 |     -5,884 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |        164 |    -11,626 |         38 |     -1,332 |    -12,920 |
| . (Files)                                                                             |          2 |         63 |          2 |         21 |         86 |
| ..                                                                                    |        136 |    -15,322 |       -159 |     -1,640 |    -17,121 |
| ..\..                                                                                 |        136 |    -15,322 |       -159 |     -1,640 |    -17,121 |
| ..\.. (Files)                                                                         |          8 |       -355 |         -5 |        -75 |       -435 |
| ..\..\api                                                                             |          4 |       -186 |         -8 |        -47 |       -241 |
| ..\..\api (Files)                                                                     |          2 |       -125 |         -6 |        -29 |       -160 |
| ..\..\api\config                                                                      |          1 |        -18 |         -2 |         -8 |        -28 |
| ..\..\api\openai                                                                      |          1 |        -43 |          0 |        -10 |        -53 |
| ..\..\api\openai\[...path]                                                            |          1 |        -43 |          0 |        -10 |        -53 |
| ..\..\client                                                                          |          3 |       -352 |         -5 |        -64 |       -421 |
| ..\..\client (Files)                                                                  |          2 |       -147 |         -4 |        -33 |       -184 |
| ..\..\client\platforms                                                                |          1 |       -205 |         -1 |        -31 |       -237 |
| ..\..\components                                                                      |         37 |     -7,057 |        -95 |       -849 |     -8,001 |
| ..\..\config                                                                          |          3 |       -106 |         -2 |        -18 |       -126 |
| ..\..\icons                                                                           |         44 |       -202 |          0 |        -14 |       -216 |
| ..\..\locales                                                                         |         16 |     -3,773 |         -1 |        -99 |     -3,873 |
| ..\..\masks                                                                           |          4 |       -619 |          0 |        -11 |       -630 |
| ..\..\store                                                                           |          8 |     -1,227 |        -28 |       -192 |     -1,447 |
| ..\..\styles                                                                          |          6 |     -1,407 |        -12 |       -265 |     -1,684 |
| ..\..\utils                                                                           |          3 |        -38 |         -3 |         -6 |        -47 |
| components                                                                            |          4 |        685 |         25 |         81 |        791 |
| constants                                                                             |          2 |      1,923 |         65 |         68 |      2,056 |
| hooks                                                                                 |          1 |         20 |          0 |          6 |         26 |
| libs                                                                                  |          5 |        216 |         35 |         31 |        282 |
| services                                                                              |          3 |        165 |         16 |         30 |        211 |
| store                                                                                 |          1 |        168 |         18 |          8 |        194 |
| styles                                                                                |          6 |        420 |         31 |         56 |        507 |
| types                                                                                 |          4 |         36 |          5 |          7 |         48 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                              | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\codes\ChatGPT-Next-Web\app\(applications)\tarot\components\Card.tsx                | TypeScript JSX   |         88 |          2 |          8 |         98 |
| d:\codes\ChatGPT-Next-Web\app\(applications)\tarot\components\Deck.tsx                | TypeScript JSX   |        298 |         11 |         30 |        339 |
| d:\codes\ChatGPT-Next-Web\app\(applications)\tarot\components\QuestionInput.tsx       | TypeScript JSX   |        165 |          7 |         26 |        198 |
| d:\codes\ChatGPT-Next-Web\app\(applications)\tarot\components\Spread.tsx              | TypeScript JSX   |        134 |          5 |         17 |        156 |
| d:\codes\ChatGPT-Next-Web\app\(applications)\tarot\constants\tarotCards.ts            | TypeScript       |        975 |         63 |         56 |      1,094 |
| d:\codes\ChatGPT-Next-Web\app\(applications)\tarot\constants\tarotSpreads.ts          | TypeScript       |        948 |          2 |         12 |        962 |
